txHash,timestamp_iso,slug,outcome,side,size,trade_price,bestBid,bestAsk,spread,mid,microprice,imbalance_topN,bid_depth_topN,ask_depth_topN,spread_percentile_60s,spread_mean_60s,spread_std_60s,inv_net_shares_before,inv_avg_cost_before,time_since_last_trade,crossing_estimate,fee_rate_bps,taker_maker,fee_usdc,markout_pnl_2s,markout_pnl_10s,markout_pnl_30s,markout_pnl_60s,time_to_next_sell_sec,realized_pnl_roundtrip,inventory_action
0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,2026-03-06T17:48:39Z,ethereum-up-or-down-march-6-12pm-et,Down,SELL,45,0.85,0.85,0.86,0.01,0.855,0.8515116279,0.3128934924,4768.04,10470.5,,,,0,0,,CROSS,,TRADE,,-0.005,-0.005,0,0.03,,0,FLIP
0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,2026-03-06T17:48:45Z,ethereum-up-or-down-march-6-12pm-et,Down,BUY,2,0.86,0.86,0.87,0.01,0.865,0.8616639972,0.3049777624,5080.53,11578.16,100,0.01,0,0,0,6,PASSIVE,,TRADE,,0.005,0.005,-0.015,-0.035,156,,OPEN
0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,2026-03-06T17:49:23Z,xrp-up-or-down-march-6-12pm-et,Down,SELL,35,0.98,0.974,0.98,0.006,0.977,0.9786091794,0.6879474582,1488.45,675.16,,,,0,0,,PASSIVE,,TRADE,,0.003,0.0035,0.003,0.0025,,0,FLIP
0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,2026-03-06T17:49:27Z,bitcoin-up-or-down-march-6-12pm-et,Up,SELL,45,0.041,0.031,0.04,0.009,0.0355,0.0348852012,0.5642520294,9918.93,7659.97,,,,0,0,,PASSIVE,,TRADE,,0.0055,0.0055,0.0125,0.016,,0,FLIP
0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,2026-03-06T17:49:43Z,solana-up-or-down-march-6-12pm-et,Down,BUY,25,0.78,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,,,,0,0,,PASSIVE,,TRADE,,0.05,0.05,-0.005,-0.025,2,,OPEN
0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,2026-03-06T17:49:45Z,solana-up-or-down-march-6-12pm-et,Down,SELL,5.940475,0.84,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,100,0.02,0,25,0.78,2,PASSIVE,,TRADE,,0.01,0.005,0.065,0.135,,0.3564285,REDUCE
0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,2026-03-06T17:49:45Z,solana-up-or-down-march-6-12pm-et,Down,SELL,1.333332,0.83999934,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,100,0.02,0,19.059525,0.78,0,PASSIVE,,TRADE,,0.00999934,0.00499934,0.06499934,0.13499934,,0.07999904,REDUCE
0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,2026-03-06T17:50:01Z,solana-up-or-down-march-6-12pm-et,Down,SELL,25,0.84,0.76,0.78,0.02,0.77,0.7673791622,0.4428416338,1660.2,2088.77,100,0.0166666667,0.005,17.726193,0.78,16,PASSIVE,,TRADE,,0.07,0.04,0.03,0.05,,1.06357158,CLOSE
0xdee3318ddfe8dee05746a0a13f75c9c72f1ab2ff008e66978c522a327b3e02bb,2026-03-06T17:50:27Z,bitcoin-up-or-down-march-6-12pm-et,Down,SELL,16.326529,0.9799999743,0.96,0.97,0.01,0.965,0.9618402308,0.4338994139,7879.34,10280.03,,,,0,0,,PASSIVE,,TRADE,,0.0149999743,0.0149999743,0.0244999743,0.0044999743,,0,FLIP
0x258ec11d4db0207ff8d3ddac68775009454c63b358def4282c774b38a2649658,2026-03-06T17:50:27Z,bitcoin-up-or-down-march-6-12pm-et,Down,SELL,6.05,0.98,0.96,0.97,0.01,0.965,0.9618402308,0.4338994139,7879.34,10280.03,100,0.01,0,0,0,0,PASSIVE,,TRADE,,0.015,0.015,0.0245,0.0045,,0,FLIP
