txHash,timestamp_epoch,timestamp_iso,slug,title,outcome,side,size,price,usdcSize,clob_token_id,erc1155_token_id,order_id,match_id,crypto,binanceSpot,hour_ms,hourOpen,hourClose,bestBid,bestAsk,spread,mid,microprice,imbalance_topN,bid_depth_topN,ask_depth_topN,bid_depth_total,ask_depth_total,bidsJson,asksJson,bookTs,bookHash,crossing_estimate,trade_vs_mid,trade_vs_micro,book_suspect,spread_percentile_60s,spread_mean_60s,spread_std_60s,net_shares_after,avg_cost_after,realized_pnl_cumulative,trade_id,market_id,event_id,outcome_id,taker_maker,fee,fee_rate_bps,trade_status,inv_net_shares_before,inv_avg_cost_before,time_since_last_trade,spread_prev_1s,spread_prev_5s_avg,spread_change_1s,spread_change_5s,imb_prev_1s,imb_prev_5s_avg,imb_change_1s,imb_change_5s,mid_prev_1s,mid_prev_5s_avg,mid_change_1s,mid_change_5s,mid_change_10s,micro_prev_1s,micro_change_1s,time_since_spread_p90,binance_prev_1s,binance_change_1s,binance_prev_5s,binance_change_5s,binance_prev_10s,binance_change_10s,aggressiveness,edge_to_micro,edge_to_mid,spread_paid_est,queue_position_proxy,realized_pnl_usdc,holding_time_sec_wavg,avg_entry_price_matched,trades_last_10s,trades_last_60s,buys_last_60s,sells_last_60s,usdc_last_60s,spread_rank_at_trade,imbalance_rank_at_trade,spread_percentile_60s_at_trade,orderbook_imbalance_at_trade,binance_ret_5s_at_trade,binance_ret_30s_at_trade,binance_ret_60s_at_trade,binance_momentum_missing,local_received_ms,api_to_local_delay_ms,book_age_ms_at_trade,binance_age_ms_at_trade
0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,1772819319,2026-03-06T17:48:39Z,ethereum-up-or-down-march-6-12pm-et,"Ethereum Up or Down - March 6, 12PM ET",Down,SELL,45,0.85,38.09455,48223161834289396465080633869075436205475087142818341885076118277066544242817,48223161834289396465080633869075436205475087142818341885076118277066544242817,,,ETH,1963.79000000,1772816400000,1971.28000000,1966.76000000,0.85,0.86,0.01,0.855,0.8515116279,0.3128934924,4768.04,10470.5,7709.56,20189.4,"[{""price"":""0.85"",""size"":""65""},{""price"":""0.84"",""size"":""606.99""},{""price"":""0.83"",""size"":""452.04""},{""price"":""0.82"",""size"":""504.44""},{""price"":""0.81"",""size"":""676.57""},{""price"":""0.8"",""size"":""527.05""},{""price"":""0.79"",""size"":""661.04""},{""price"":""0.78"",""size"":""442""},{""price"":""0.77"",""size"":""442""},{""price"":""0.76"",""size"":""390.91""}]","[{""price"":""0.86"",""size"":""365""},{""price"":""0.87"",""size"":""806.02""},{""price"":""0.88"",""size"":""671.47""},{""price"":""0.89"",""size"":""564.96""},{""price"":""0.9"",""size"":""675.28""},{""price"":""0.91"",""size"":""1042""},{""price"":""0.92"",""size"":""1137""},{""price"":""0.93"",""size"":""1106.8""},{""price"":""0.94"",""size"":""3209.97""},{""price"":""0.95"",""size"":""892""}]",1772819327235,3167e8c3bdb1d18c692b8aa8f10547896543387e,CROSS,-0.005,-0.0015116279,,,,,0,0,0,,0x50e78daebdcf9bcfeb1d0dd5a6fd0f9d3432da6f0716b65324ecf30465e19ce3,,1,TRADE,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,CROSS_BID,-0.0015116279,-0.005,0.01,,,,,0,0,0,0,0,,,,0.3128934924,,,,true,1772819327252,8252,,
0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,1772819325,2026-03-06T17:48:45Z,ethereum-up-or-down-march-6-12pm-et,"Ethereum Up or Down - March 6, 12PM ET",Down,BUY,2,0.86,1.72,48223161834289396465080633869075436205475087142818341885076118277066544242817,48223161834289396465080633869075436205475087142818341885076118277066544242817,,,ETH,1963.75000000,1772816400000,1971.28000000,1966.76000000,0.86,0.87,0.01,0.865,0.8616639972,0.3049777624,5080.53,11578.16,8362.96,19695.06,"[{""price"":""0.86"",""size"":""57.14""},{""price"":""0.85"",""size"":""473""},{""price"":""0.84"",""size"":""515.99""},{""price"":""0.83"",""size"":""687.04""},{""price"":""0.82"",""size"":""526.44""},{""price"":""0.81"",""size"":""678.83""},{""price"":""0.8"",""size"":""487.05""},{""price"":""0.79"",""size"":""661.04""},{""price"":""0.78"",""size"":""542""},{""price"":""0.77"",""size"":""452""}]","[{""price"":""0.87"",""size"":""286.25""},{""price"":""0.88"",""size"":""997.47""},{""price"":""0.89"",""size"":""563.96""},{""price"":""0.9"",""size"":""675.28""},{""price"":""0.91"",""size"":""1042""},{""price"":""0.92"",""size"":""1142.43""},{""price"":""0.93"",""size"":""1066.8""},{""price"":""0.94"",""size"":""1049.97""},{""price"":""0.95"",""size"":""3062""},{""price"":""0.96"",""size"":""1692""}]",1772819337658,d4df77cabcf03b1c54c9ca8684a4310fe8ec061d,PASSIVE,-0.005,-0.0016639972,,100,0.01,0,2,0.86,0,,0x50e78daebdcf9bcfeb1d0dd5a6fd0f9d3432da6f0716b65324ecf30465e19ce3,,1,TRADE,,,,0,0,6,,,,,,,,,,,,,,,,-11,,,,,,,PASSIVE_OR_BELOW_MID,0.0016639972,0.005,0,JOIN_TOP,,,,1,1,0,1,38.09455,1,1,100,0.3049777624,0,,,,1772819337679,12679,1679,1679
0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,1772819363,2026-03-06T17:49:23Z,xrp-up-or-down-march-6-12pm-et,"XRP Up or Down - March 6, 12PM ET",Down,SELL,35,0.98,34.29671,52848143004416041809860310978209128856463569850510970169149345796252320731339,52848143004416041809860310978209128856463569850510970169149345796252320731339,,,XRP,1.35120000,1772816400000,1.35710000,1.34980000,0.974,0.98,0.006,0.977,0.9786091794,0.6879474582,1488.45,675.16,2646.42,675.16,"[{""price"":""0.974"",""size"":""16.57""},{""price"":""0.97"",""size"":""567.95""},{""price"":""0.96"",""size"":""257.42""},{""price"":""0.95"",""size"":""145""},{""price"":""0.94"",""size"":""45""},{""price"":""0.93"",""size"":""55.34""},{""price"":""0.923"",""size"":""100""},{""price"":""0.92"",""size"":""100.97""},{""price"":""0.91"",""size"":""73.49""},{""price"":""0.9"",""size"":""126.71""}]","[{""price"":""0.98"",""size"":""5""},{""price"":""0.99"",""size"":""420.16""},{""price"":""0.999"",""size"":""250""}]",1772819371734,9a7ae4a1f3ed494c5f43b3e8deeb2afe390c6cca,PASSIVE,0.003,0.0013908206,,,,,0,0,0,,0x37f945ea7001b0856b8b35e182ef9acf19157617af3ad8a56686f72dd6cbcfd7,,1,TRADE,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE_OR_ABOVE_MID,0.0013908206,0.003,0,JOIN_TOP,,,,0,0,0,0,0,,,,0.6879474582,,,,true,1772819371786,8786,,
0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,1772819367,2026-03-06T17:49:27Z,bitcoin-up-or-down-march-6-12pm-et,"Bitcoin Up or Down - March 6, 12PM ET",Up,SELL,45,0.041,1.84429,111993094619070847835463715176525907408712825519046711079167959550589390997732,111993094619070847835463715176525907408712825519046711079167959550589390997732,,,BTC,67983.47000000,1772816400000,68446.52000000,67955.10000000,0.031,0.04,0.009,0.0355,0.0348852012,0.5642520294,9918.93,7659.97,9918.93,10514.22,"[{""price"":""0.031"",""size"":""37.98""},{""price"":""0.03"",""size"":""350""},{""price"":""0.029"",""size"":""45""},{""price"":""0.028"",""size"":""45""},{""price"":""0.02"",""size"":""1841.92""},{""price"":""0.012"",""size"":""10""},{""price"":""0.01"",""size"":""7339.03""},{""price"":""0.001"",""size"":""250""}]","[{""price"":""0.04"",""size"":""50""},{""price"":""0.041"",""size"":""54.36""},{""price"":""0.042"",""size"":""27.89""},{""price"":""0.046"",""size"":""200""},{""price"":""0.05"",""size"":""871""},{""price"":""0.06"",""size"":""613""},{""price"":""0.067"",""size"":""10""},{""price"":""0.07"",""size"":""523.72""},{""price"":""0.08"",""size"":""4845""},{""price"":""0.09"",""size"":""465""}]",1772819382982,4d09ed85a2b75e67c396f222be3781935184e9cd,PASSIVE,0.0055,0.0061147988,,,,,0,0,0,,0x88ce93d678085a366abff11775e0bb645e190dfb847064b170f10842e83a9b5d,,,TRADE,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE_OR_ABOVE_MID,0.0061147988,0.0055,0,DEEP,,,,0,0,0,0,0,,,,0.5642520294,,,,true,1772819382994,15994,,
0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,1772819383,2026-03-06T17:49:43Z,solana-up-or-down-march-6-12pm-et,"Solana Up or Down - March 6, 12PM ET",Down,BUY,25,0.78,19.5,37104754391473594578855548030707985917761021149038287716603550522097426518045,37104754391473594578855548030707985917761021149038287716603550522097426518045,,,SOL,84.11000000,1772816400000,84.36000000,84.21000000,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,3532.58,4700.7,"[{""price"":""0.82"",""size"":""24.86""},{""price"":""0.81"",""size"":""101""},{""price"":""0.8"",""size"":""334.75""},{""price"":""0.79"",""size"":""249""},{""price"":""0.78"",""size"":""383.35""},{""price"":""0.77"",""size"":""226""},{""price"":""0.76"",""size"":""255.96""},{""price"":""0.75"",""size"":""232.66""},{""price"":""0.74"",""size"":""226""},{""price"":""0.73"",""size"":""226""}]","[{""price"":""0.84"",""size"":""214""},{""price"":""0.85"",""size"":""50""},{""price"":""0.86"",""size"":""200""},{""price"":""0.87"",""size"":""201""},{""price"":""0.88"",""size"":""242.66""},{""price"":""0.89"",""size"":""301""},{""price"":""0.9"",""size"":""226""},{""price"":""0.91"",""size"":""226""},{""price"":""0.92"",""size"":""226""},{""price"":""0.93"",""size"":""226""}]",1772819394163,71b66baaf09829a6c3ab33c65da4fdf44ded92b4,PASSIVE,-0.05,-0.042081554,,,,,25,0.78,0,,0x9ce33c7637d9fc39af942fb91570fdfa5eae41919d503a31281a84792adaa488,,1,TRADE,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE_OR_BELOW_MID,0.042081554,0.05,0,DEEP,,,,0,0,0,0,0,,,,0.5168014565,,,,true,1772819394176,11176,,
0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,1772819385,2026-03-06T17:49:45Z,solana-up-or-down-march-6-12pm-et,"Solana Up or Down - March 6, 12PM ET",Down,SELL,5.940475,0.84,4.989999,37104754391473594578855548030707985917761021149038287716603550522097426518045,37104754391473594578855548030707985917761021149038287716603550522097426518045,,,SOL,84.11000000,1772816400000,84.36000000,84.21000000,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,3532.58,4700.7,"[{""price"":""0.82"",""size"":""24.86""},{""price"":""0.81"",""size"":""101""},{""price"":""0.8"",""size"":""334.75""},{""price"":""0.79"",""size"":""249""},{""price"":""0.78"",""size"":""383.35""},{""price"":""0.77"",""size"":""226""},{""price"":""0.76"",""size"":""255.96""},{""price"":""0.75"",""size"":""232.66""},{""price"":""0.74"",""size"":""226""},{""price"":""0.73"",""size"":""226""}]","[{""price"":""0.84"",""size"":""214""},{""price"":""0.85"",""size"":""50""},{""price"":""0.86"",""size"":""200""},{""price"":""0.87"",""size"":""201""},{""price"":""0.88"",""size"":""242.66""},{""price"":""0.89"",""size"":""301""},{""price"":""0.9"",""size"":""226""},{""price"":""0.91"",""size"":""226""},{""price"":""0.92"",""size"":""226""},{""price"":""0.93"",""size"":""226""}]",1772819394163,71b66baaf09829a6c3ab33c65da4fdf44ded92b4,PASSIVE,0.01,0.017918446,,100,0.02,0,19.059525,0.78,0.3564285,,0x9ce33c7637d9fc39af942fb91570fdfa5eae41919d503a31281a84792adaa488,,1,TRADE,,,,25,0.78,2,,,,,,,,,,,,,,,,,,,,,,,PASSIVE_OR_ABOVE_MID,0.017918446,0.01,0,JOIN_TOP,0.3564285,2,0.78,1,1,1,0,19.5,,,100,0.5168014565,,,,true,1772819394187,9187,,
0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,1772819385,2026-03-06T17:49:45Z,solana-up-or-down-march-6-12pm-et,"Solana Up or Down - March 6, 12PM ET",Down,SELL,1.333332,0.83999934,1.119998,37104754391473594578855548030707985917761021149038287716603550522097426518045,37104754391473594578855548030707985917761021149038287716603550522097426518045,,,SOL,84.11000000,1772816400000,84.36000000,84.21000000,0.82,0.84,0.02,0.83,0.822081554,0.5168014565,2259.58,2112.66,3532.58,4700.7,"[{""price"":""0.82"",""size"":""24.86""},{""price"":""0.81"",""size"":""101""},{""price"":""0.8"",""size"":""334.75""},{""price"":""0.79"",""size"":""249""},{""price"":""0.78"",""size"":""383.35""},{""price"":""0.77"",""size"":""226""},{""price"":""0.76"",""size"":""255.96""},{""price"":""0.75"",""size"":""232.66""},{""price"":""0.74"",""size"":""226""},{""price"":""0.73"",""size"":""226""}]","[{""price"":""0.84"",""size"":""214""},{""price"":""0.85"",""size"":""50""},{""price"":""0.86"",""size"":""200""},{""price"":""0.87"",""size"":""201""},{""price"":""0.88"",""size"":""242.66""},{""price"":""0.89"",""size"":""301""},{""price"":""0.9"",""size"":""226""},{""price"":""0.91"",""size"":""226""},{""price"":""0.92"",""size"":""226""},{""price"":""0.93"",""size"":""226""}]",1772819394163,71b66baaf09829a6c3ab33c65da4fdf44ded92b4,PASSIVE,0.00999934,0.017917786,,100,0.02,0,17.726193,0.78,0.43642754,,0x9ce33c7637d9fc39af942fb91570fdfa5eae41919d503a31281a84792adaa488,,1,TRADE,,,,19.059525,0.78,0,,,,,,,,,,,,,,,,,,,,,,,PASSIVE_OR_ABOVE_MID,0.017917786,0.00999934,0.00000066,DEEP,0.07999904,2,0.78,1,1,1,0,19.5,,,100,0.5168014565,,,,true,1772819394189,9189,,
0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,1772819401,2026-03-06T17:50:01Z,solana-up-or-down-march-6-12pm-et,"Solana Up or Down - March 6, 12PM ET",Down,SELL,25,0.84,21,37104754391473594578855548030707985917761021149038287716603550522097426518045,37104754391473594578855548030707985917761021149038287716603550522097426518045,,,SOL,84.17000000,1772816400000,84.36000000,84.21000000,0.76,0.78,0.02,0.77,0.7673791622,0.4428416338,1660.2,2088.77,2410.2,5997.81,"[{""price"":""0.76"",""size"":""54.96""},{""price"":""0.75"",""size"":""176""},{""price"":""0.74"",""size"":""53""},{""price"":""0.73"",""size"":""201""},{""price"":""0.72"",""size"":""224""},{""price"":""0.71"",""size"":""201""},{""price"":""0.7"",""size"":""226""},{""price"":""0.69"",""size"":""233.24""},{""price"":""0.68"",""size"":""226""},{""price"":""0.67"",""size"":""65""}]","[{""price"":""0.78"",""size"":""94""},{""price"":""0.79"",""size"":""50""},{""price"":""0.8"",""size"":""220""},{""price"":""0.81"",""size"":""221""},{""price"":""0.82"",""size"":""253.77""},{""price"":""0.83"",""size"":""326""},{""price"":""0.84"",""size"":""226""},{""price"":""0.85"",""size"":""246""},{""price"":""0.86"",""size"":""226""},{""price"":""0.87"",""size"":""226""}]",1772819406571,f2f703c04b4d56acfab762b0a265f09dc5fbf153,PASSIVE,0.07,0.0726208378,,100,0.0166666667,0.005,0,0,1.93642754,,0x9ce33c7637d9fc39af942fb91570fdfa5eae41919d503a31281a84792adaa488,,1,TRADE,,,,17.726193,0.78,16,0.02,0.015,0,0.005,0.4735558512,0.4491016061,-0.0307142174,-0.0062599723,0.81,0.8175,-0.04,-0.0475,,0.8046488625,-0.0372697003,2,84.13,0.03,84.11,0.05,,,PASSIVE_OR_ABOVE_MID,0.0726208378,0.07,0,DEEP,1.06357158,18,0.78,0,3,1,2,25.609997,2,2,100,0.4428416338,0.0005944596,,,,1772819406599,5599,2599,2599
0xdee3318ddfe8dee05746a0a13f75c9c72f1ab2ff008e66978c522a327b3e02bb,1772819427,2026-03-06T17:50:27Z,bitcoin-up-or-down-march-6-12pm-et,"Bitcoin Up or Down - March 6, 12PM ET",Down,SELL,16.326529,0.9799999743,15.999998,15187380553748046988407327102183217831029698339533392336356751239692761578273,15187380553748046988407327102183217831029698339533392336356751239692761578273,,,BTC,68037.29000000,1772816400000,68446.52000000,67955.10000000,0.96,0.97,0.01,0.965,0.9618402308,0.4338994139,7879.34,10280.03,10369.73,10280.03,"[{""price"":""0.96"",""size"":""204.1""},{""price"":""0.95"",""size"":""348.63""},{""price"":""0.94"",""size"":""740""},{""price"":""0.93"",""size"":""1202.76""},{""price"":""0.927"",""size"":""3600""},{""price"":""0.92"",""size"":""575""},{""price"":""0.91"",""size"":""538""},{""price"":""0.904"",""size"":""100""},{""price"":""0.9"",""size"":""456.85""},{""price"":""0.89"",""size"":""114""}]","[{""price"":""0.97"",""size"":""905""},{""price"":""0.976"",""size"":""200""},{""price"":""0.977"",""size"":""3600""},{""price"":""0.98"",""size"":""1461.38""},{""price"":""0.988"",""size"":""10""},{""price"":""0.99"",""size"":""3853.65""},{""price"":""0.999"",""size"":""250""}]",1772819441745,d2290e8864be7771392d8ae7aed7521b0ea22e92,PASSIVE,0.0149999743,0.0181597435,,,,,0,0,0,,0x88ce93d678085a366abff11775e0bb645e190dfb847064b170f10842e83a9b5d,,1,TRADE,,,,0,0,,,,,,,,,,,,,,,,,,68013.66,23.62,68017.18,20.1,68022.1,15.18,PASSIVE_OR_ABOVE_MID,0.0181597435,0.0149999743,0,DEEP,,,,0,0,0,0,0,,,,0.4338994139,-0.0000517516,0.0005476898,,,1772819441766,14766,,2766
0x258ec11d4db0207ff8d3ddac68775009454c63b358def4282c774b38a2649658,1772819427,2026-03-06T17:50:27Z,bitcoin-up-or-down-march-6-12pm-et,"Bitcoin Up or Down - March 6, 12PM ET",Down,SELL,6.05,0.98,5.929,15187380553748046988407327102183217831029698339533392336356751239692761578273,15187380553748046988407327102183217831029698339533392336356751239692761578273,,,BTC,68037.29000000,1772816400000,68446.52000000,67955.10000000,0.96,0.97,0.01,0.965,0.9618402308,0.4338994139,7879.34,10280.03,10369.73,10280.03,"[{""price"":""0.96"",""size"":""204.1""},{""price"":""0.95"",""size"":""348.63""},{""price"":""0.94"",""size"":""740""},{""price"":""0.93"",""size"":""1202.76""},{""price"":""0.927"",""size"":""3600""},{""price"":""0.92"",""size"":""575""},{""price"":""0.91"",""size"":""538""},{""price"":""0.904"",""size"":""100""},{""price"":""0.9"",""size"":""456.85""},{""price"":""0.89"",""size"":""114""}]","[{""price"":""0.97"",""size"":""905""},{""price"":""0.976"",""size"":""200""},{""price"":""0.977"",""size"":""3600""},{""price"":""0.98"",""size"":""1461.38""},{""price"":""0.988"",""size"":""10""},{""price"":""0.99"",""size"":""3853.65""},{""price"":""0.999"",""size"":""250""}]",1772819441745,d2290e8864be7771392d8ae7aed7521b0ea22e92,PASSIVE,0.015,0.0181597692,,100,0.01,0,0,0,0,,0x88ce93d678085a366abff11775e0bb645e190dfb847064b170f10842e83a9b5d,,1,TRADE,,,,0,0,0,,,,,,,,,,,,,,,,,68013.66,23.62,68017.18,20.1,68022.1,15.18,PASSIVE_OR_ABOVE_MID,0.0181597692,0.015,0,DEEP,,,,0,0,0,0,0,,,100,0.4338994139,-0.0000517516,0.0005476898,,,1772819441768,14768,,2768
