markout_id,txHash,clob_token_id,t0_epoch,horizon_sec,due_epoch,mid_t0,spread_t0,binance_t0,mid_t1,spread_t1,binance_t1,trade_price,side,markout_pnl_per_share
2f65e54f7a,0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819319,2,1772819321,0.855,0.01,1963.79000000,,,,0.85,SELL,
c214761e40,0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819319,10,1772819329,0.855,0.01,1963.79000000,,,,0.85,SELL,
710b2ef8c1,0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819319,30,1772819349,0.855,0.01,1963.79000000,,,,0.85,SELL,
539acfae1c,0x98f0899e2c5be2a6ca743a149b663f0abd7a414ffeb0da3618bad070e110b38c,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819319,60,1772819379,0.855,0.01,1963.79000000,,,,0.85,SELL,
2904408b83,0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819325,2,1772819327,0.865,0.01,1963.75000000,,,,0.86,BUY,
3db4bee258,0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819325,10,1772819335,0.865,0.01,1963.75000000,,,,0.86,BUY,
7ebec1339e,0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819325,30,1772819355,0.865,0.01,1963.75000000,,,,0.86,BUY,
ba5f3984d5,0xe8869af85a948ad0b0fbc530ed3d8d4921ae6eadcc4e370ff244eaf7ab3bbdcb,48223161834289396465080633869075436205475087142818341885076118277066544242817,1772819325,60,1772819385,0.865,0.01,1963.75000000,,,,0.86,BUY,
58cca1a875,0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,52848143004416041809860310978209128856463569850510970169149345796252320731339,1772819363,2,1772819365,0.977,0.006,1.35120000,,,,0.98,SELL,
d74d33f782,0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,52848143004416041809860310978209128856463569850510970169149345796252320731339,1772819363,10,1772819373,0.977,0.006,1.35120000,,,,0.98,SELL,
0283f1cdb6,0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,52848143004416041809860310978209128856463569850510970169149345796252320731339,1772819363,30,1772819393,0.977,0.006,1.35120000,,,,0.98,SELL,
5535199356,0x205eb2ecbbff536d007387c87af0464ea607a884428caf285fd2ff49df06d2af,52848143004416041809860310978209128856463569850510970169149345796252320731339,1772819363,60,1772819423,0.977,0.006,1.35120000,,,,0.98,SELL,
e3083712fd,0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,111993094619070847835463715176525907408712825519046711079167959550589390997732,1772819367,2,1772819369,0.0355,0.009,67983.47000000,,,,0.041,SELL,
e3ab20c72a,0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,111993094619070847835463715176525907408712825519046711079167959550589390997732,1772819367,10,1772819377,0.0355,0.009,67983.47000000,,,,0.041,SELL,
860be1fde6,0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,111993094619070847835463715176525907408712825519046711079167959550589390997732,1772819367,30,1772819397,0.0355,0.009,67983.47000000,,,,0.041,SELL,
f16c6c95d4,0xbb3cec1cec78ef80616244a5562f491089bee026c8470be379a40d28b06146ef,111993094619070847835463715176525907408712825519046711079167959550589390997732,1772819367,60,1772819427,0.0355,0.009,67983.47000000,,,,0.041,SELL,
e998ed1697,0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819383,2,1772819385,0.83,0.02,84.11000000,,,,0.78,BUY,
0b1bc86c64,0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819383,10,1772819393,0.83,0.02,84.11000000,,,,0.78,BUY,
1968079461,0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819383,30,1772819413,0.83,0.02,84.11000000,,,,0.78,BUY,
5578f94e70,0x7b541c6ab393c1e015d64d673724440a7a844e59a337e789b8b1f60554b3d32b,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819383,60,1772819443,0.83,0.02,84.11000000,,,,0.78,BUY,
82e2c34ad6,0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,2,1772819387,0.83,0.02,84.11000000,,,,0.84,SELL,
d67292f717,0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,10,1772819395,0.83,0.02,84.11000000,,,,0.84,SELL,
3637d84e3a,0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,30,1772819415,0.83,0.02,84.11000000,,,,0.84,SELL,
d8a47b4b7f,0x1f7f6a65ea29bf2d75299c9daf28917f5195ea221d11438977ced3736fb15b00,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,60,1772819445,0.83,0.02,84.11000000,,,,0.84,SELL,
b8e319fc71,0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,2,1772819387,0.83,0.02,84.11000000,,,,0.83999934,SELL,
5cdba809db,0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,10,1772819395,0.83,0.02,84.11000000,,,,0.83999934,SELL,
6513e3d8b6,0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,30,1772819415,0.83,0.02,84.11000000,,,,0.83999934,SELL,
eb9c4eed26,0x71787dccbb2be0af6257db8f56d25aa990afa72e2f07d598432809371f10ed17,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819385,60,1772819445,0.83,0.02,84.11000000,,,,0.83999934,SELL,
6e7034eaf4,0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819401,2,1772819403,0.77,0.02,84.17000000,,,,0.84,SELL,
0a76f7f473,0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819401,10,1772819411,0.77,0.02,84.17000000,,,,0.84,SELL,
78d6cfd5e7,0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819401,30,1772819431,0.77,0.02,84.17000000,,,,0.84,SELL,
c4b74151db,0x888c35f6958e2a2912cf308e88c485e30e4d4735d42554130d3f2add584ec1aa,37104754391473594578855548030707985917761021149038287716603550522097426518045,1772819401,60,1772819461,0.77,0.02,84.17000000,,,,0.84,SELL,
e4d89bb6da,0xdee3318ddfe8dee05746a0a13f75c9c72f1ab2ff008e66978c522a327b3e02bb,15187380553748046988407327102183217831029698339533392336356751239692761578273,1772819427,2,1772819429,0.965,0.01,68037.29000000,,,,0.9799999743,SELL,
